"journal","issn","quartile","impact_factor","category","jcr_year"
"BULLETIN OF ENTOMOLOGICAL RESEARCH","1475-2670","Q2","1.7","ENTOMOLOGY","2025"
"JOURNAL OF NURSING CARE QUALITY","1057-3631","Q3","1.7","NURSING","2025"
"JOURNAL OF NURSING CARE QUALITY","1550-5065","Q3","1.7","NURSING","2025"
"Journal of Science Teacher Education","1046-560X","Q2","1.7","EDUCATION & EDUCATIONAL RESEARCH","2025"
"Journal of Science Teacher Education","1573-1847","Q2","1.7","EDUCATION & EDUCATIONAL RESEARCH","2025"
"NEW LEFT REVIEW","0028-6060","Q2","1.7","Multiple","2025"
"NEW LEFT REVIEW","2044-0480","Q2","1.7","Multiple","2025"
"Translation Studies","1478-1700","Q2","1.7","Multiple","2025"
"Translation Studies","1751-2921","Q2","1.7","Multiple","2025"
"Videosurgery and Other Miniinvasive Techniques","1895-4588","Q3","1.7","SURGERY","2025"
"Videosurgery and Other Miniinvasive Techniques","2299-0054","Q3","1.7","SURGERY","2025"
"Journal of Public Affairs","1472-3891","Q3","1.7","PUBLIC ADMINISTRATION","2025"
"Journal of Public Affairs","1479-1854","Q3","1.7","PUBLIC ADMINISTRATION","2025"
"BRITISH POULTRY SCIENCE","0007-1668","Q3","1.7","AGRICULTURE, DAIRY & ANIMAL SCIENCE","2025"
"BRITISH POULTRY SCIENCE","1466-1799","Q3","1.7","AGRICULTURE, DAIRY & ANIMAL SCIENCE","2025"
"COMPUTER AIDED GEOMETRIC DESIGN","0167-8396","Q2","1.7","Multiple","2025"
"COMPUTER AIDED GEOMETRIC DESIGN","1879-2332","Q2","1.7","Multiple","2025"
"International Journal of Paleopathology","1879-9817","Q2","1.7","Multiple","2025"
"International Journal of Paleopathology","1879-9825","Q2","1.7","Multiple","2025"
"JOURNAL OF APPLIED COMMUNICATION RESEARCH","0090-9882","Q2","1.7","COMMUNICATION","2025"
"JOURNAL OF APPLIED COMMUNICATION RESEARCH","1479-5752","Q2","1.7","COMMUNICATION","2025"
"MEDICINE SCIENCE AND THE LAW","0025-8024","Q1","1.7","Multiple","2025"
"MEDICINE SCIENCE AND THE LAW","2042-1818","Q1","1.7","Multiple","2025"
"RHEUMATIC DISEASE CLINICS OF NORTH AMERICA","0889-857X","Q3","1.7","RHEUMATOLOGY","2025"
"RHEUMATIC DISEASE CLINICS OF NORTH AMERICA","1558-3163","Q3","1.7","RHEUMATOLOGY","2025"
"Secularism & Nonreligion","2053-6712","Q2","1.7","SOCIOLOGY","2025"
"Theory and Research in Education","1477-8785","Q2","1.7","EDUCATION & EDUCATIONAL RESEARCH","2025"
"Theory and Research in Education","1741-3192","Q2","1.7","EDUCATION & EDUCATIONAL RESEARCH","2025"
"Climate Change Economics","2010-0078","Q2","1.7","Multiple","2025"
"Climate Change Economics","2010-0086","Q2","1.7","Multiple","2025"
"Electronic News","1931-2431","Q2","1.7","COMMUNICATION","2025"
"Electronic News","1931-244X","Q2","1.7","COMMUNICATION","2025"
"JOURNAL FOR THE THEORY OF SOCIAL BEHAVIOUR","0021-8308","Q3","1.7","PSYCHOLOGY, SOCIAL","2025"
"JOURNAL FOR THE THEORY OF SOCIAL BEHAVIOUR","1468-5914","Q3","1.7","PSYCHOLOGY, SOCIAL","2025"
"Scandinavian Journal of Occupational Therapy","1103-8128","Q2","1.7","REHABILITATION","2025"
"Scandinavian Journal of Occupational Therapy","1651-2014","Q2","1.7","REHABILITATION","2025"
"Stigma and Health","2376-6972","Q3","1.7","Multiple","2025"
"Stigma and Health","2376-6964","Q3","1.7","Multiple","2025"
"International Journal of Computerized Dentistry","1463-4201","Q3","1.7","DENTISTRY, ORAL SURGERY & MEDICINE","2025"
"PHILOSOPHICAL PSYCHOLOGY","0951-5089","Q2","1.7","Multiple","2025"
"PHILOSOPHICAL PSYCHOLOGY","1465-394X","Q2","1.7","Multiple","2025"
"ARTS IN PSYCHOTHERAPY","0197-4556","Q2","1.7","Multiple","2025"
"ARTS IN PSYCHOTHERAPY","1873-5878","Q2","1.7","Multiple","2025"
"Civil Wars","1369-8249","Q2","1.7","POLITICAL SCIENCE","2025"
"Civil Wars","1743-968X","Q2","1.7","POLITICAL SCIENCE","2025"
"CLINICAL HEMORHEOLOGY AND MICROCIRCULATION","1386-0291","Q3","1.7","Multiple","2025"
"CLINICAL HEMORHEOLOGY AND MICROCIRCULATION","1875-8622","Q3","1.7","Multiple","2025"
"Inland Waters","2044-2041","Q3","1.7","Multiple","2025"
"Inland Waters","2044-205X","Q3","1.7","Multiple","2025"
"International Journal of Differential Equations","1687-9643","Q2","1.7","MATHEMATICS, APPLIED","2025"
"International Journal of Differential Equations","1687-9651","Q2","1.7","MATHEMATICS, APPLIED","2025"
"Journal of Computational and Theoretical Transport","2332-4309","Q2","1.7","Multiple","2025"
"Journal of Computational and Theoretical Transport","2332-4325","Q2","1.7","Multiple","2025"
"Traumatology","N/A","Q2","1.7","Multiple","2025"
"Traumatology","1085-9373","Q2","1.7","Multiple","2025"
"Australian Journal of Language and Literacy","1038-1562","Q2","1.7","EDUCATION & EDUCATIONAL RESEARCH","2025"
"Australian Journal of Language and Literacy","1839-4728","Q2","1.7","EDUCATION & EDUCATIONAL RESEARCH","2025"
"Journal of Forensic and Legal Medicine","1752-928X","Q3","1.7","MEDICINE, LEGAL","2025"
"Journal of Forensic and Legal Medicine","1532-2009","Q3","1.7","MEDICINE, LEGAL","2025"
"Journal of International and Intercultural Communication","1751-3057","Q2","1.7","COMMUNICATION","2025"
"Journal of International and Intercultural Communication","1751-3065","Q2","1.7","COMMUNICATION","2025"
"ACTA ODONTOLOGICA SCANDINAVICA","0001-6357","Q3","1.7","DENTISTRY, ORAL SURGERY & MEDICINE","2025"
"ACTA ODONTOLOGICA SCANDINAVICA","1502-3850","Q3","1.7","DENTISTRY, ORAL SURGERY & MEDICINE","2025"
"DISCOURSE PROCESSES","0163-853X","Q3","1.7","Multiple","2025"
"DISCOURSE PROCESSES","1532-6950","Q3","1.7","Multiple","2025"
"European Early Childhood Education Research Journal","1350-293X","Q2","1.7","EDUCATION & EDUCATIONAL RESEARCH","2025"
"European Early Childhood Education Research Journal","1752-1807","Q2","1.7","EDUCATION & EDUCATIONAL RESEARCH","2025"
"International Journal for Educational and Vocational Guidance","1873-0388","Q2","1.7","Multiple","2025"
"International Journal for Educational and Vocational Guidance","1573-1782","Q2","1.7","Multiple","2025"
"International Journal of Qualitative Studies in Education","0951-8398","Q2","1.7","EDUCATION & EDUCATIONAL RESEARCH","2025"
"International Journal of Qualitative Studies in Education","1366-5898","Q2","1.7","EDUCATION & EDUCATIONAL RESEARCH","2025"
"Journal of Sport Rehabilitation","1056-6716","Q2","1.7","Multiple","2025"
"Journal of Sport Rehabilitation","1543-3072","Q2","1.7","Multiple","2025"
"Open Access Emergency Medicine","1179-1500","Q2","1.7","EMERGENCY MEDICINE","2025"
"Astin Bulletin-The Journal of the International Actuarial Association","0515-0361","Q2","1.7","Multiple","2025"
"Astin Bulletin-The Journal of the International Actuarial Association","1783-1350","Q2","1.7","Multiple","2025"
"European Journal of Orthopaedic Surgery and Traumatology","1633-8065","Q3","1.7","Multiple","2025"
"European Journal of Orthopaedic Surgery and Traumatology","1432-1068","Q3","1.7","Multiple","2025"
"Nurse Leader","1541-4612","Q3","1.7","NURSING","2025"
"Nurse Leader","1541-4620","Q3","1.7","NURSING","2025"
"OCULAR IMMUNOLOGY AND INFLAMMATION","0927-3948","Q3","1.7","OPHTHALMOLOGY","2025"
"OCULAR IMMUNOLOGY AND INFLAMMATION","1744-5078","Q3","1.7","OPHTHALMOLOGY","2025"
"Quality Education for All","N/A","Q2","1.7","EDUCATION & EDUCATIONAL RESEARCH","2025"
"Quality Education for All","2976-9310","Q2","1.7","EDUCATION & EDUCATIONAL RESEARCH","2025"
"REVIEW OF PALAEOBOTANY AND PALYNOLOGY","0034-6667","Q2","1.7","Multiple","2025"
"REVIEW OF PALAEOBOTANY AND PALYNOLOGY","1879-0615","Q2","1.7","Multiple","2025"
"INTERNATIONAL OPHTHALMOLOGY","0165-5701","Q3","1.7","OPHTHALMOLOGY","2025"
"INTERNATIONAL OPHTHALMOLOGY","1573-2630","Q3","1.7","OPHTHALMOLOGY","2025"
"JOURNAL OF EXPERIMENTAL ZOOLOGY PART B-MOLECULAR AND DEVELOPMENTAL EVOLUTION","1552-5007","Q2","1.7","Multiple","2025"
"JOURNAL OF EXPERIMENTAL ZOOLOGY PART B-MOLECULAR AND DEVELOPMENTAL EVOLUTION","1552-5015","Q2","1.7","Multiple","2025"
"JOURNAL OF GENERAL PSYCHOLOGY","0022-1309","Q2","1.7","PSYCHOLOGY, MULTIDISCIPLINARY","2025"
"JOURNAL OF GENERAL PSYCHOLOGY","1940-0888","Q2","1.7","PSYCHOLOGY, MULTIDISCIPLINARY","2025"
"Science of Nature","0028-1042","Q2","1.7","MULTIDISCIPLINARY SCIENCES","2025"
"Science of Nature","1432-1904","Q2","1.7","MULTIDISCIPLINARY SCIENCES","2025"
"CALICO Journal","2056-9017","Q2","1.7","EDUCATION & EDUCATIONAL RESEARCH","2025"
"Clinical Medicine Insights-Pediatrics","1179-5565","Q3","1.7","PEDIATRICS","2025"
"FETAL DIAGNOSIS AND THERAPY","1015-3837","Q3","1.7","OBSTETRICS & GYNECOLOGY","2025"
"FETAL DIAGNOSIS AND THERAPY","1421-9964","Q3","1.7","OBSTETRICS & GYNECOLOGY","2025"
"GEOLOGICA BELGICA","1374-8505","Q2","1.7","GEOLOGY","2025"
"GEOLOGICA BELGICA","2034-1954","Q2","1.7","GEOLOGY","2025"
"International Journal of Communication","1932-8036","Q2","1.7","COMMUNICATION","2025"
"Jornal Brasileiro de Reproducao Assistida","1517-5693","Q3","1.7","OBSTETRICS & GYNECOLOGY","2025"
"Jornal Brasileiro de Reproducao Assistida","1518-0557","Q3","1.7","OBSTETRICS & GYNECOLOGY","2025"
"JOURNAL OF OBSTETRICS AND GYNAECOLOGY RESEARCH","1341-8076","Q3","1.7","OBSTETRICS & GYNECOLOGY","2025"
"JOURNAL OF OBSTETRICS AND GYNAECOLOGY RESEARCH","1447-0756","Q3","1.7","OBSTETRICS & GYNECOLOGY","2025"
"Asia-Pacific Journal of Sports Medicine Arthroscopy Rehabilitation and Technology","2214-6873","Q3","1.7","Multiple","2025"
"ENVIRONMETRICS","1180-4009","Q2","1.7","Multiple","2025"
"ENVIRONMETRICS","1099-095X","Q2","1.7","Multiple","2025"
"International Journal of Health Governance","2059-4631","Q4","1.7","HEALTH POLICY & SERVICES","2025"
"JOURNAL OF DENTAL EDUCATION","0022-0337","Q3","1.7","DENTISTRY, ORAL SURGERY & MEDICINE","2025"
"JOURNAL OF DENTAL EDUCATION","1930-7837","Q3","1.7","DENTISTRY, ORAL SURGERY & MEDICINE","2025"
"JOURNAL OF GERONTOLOGICAL SOCIAL WORK","1540-4048","Q2","1.7","Multiple","2025"
"JOURNAL OF GERONTOLOGICAL SOCIAL WORK","0163-4372","Q2","1.7","Multiple","2025"
"Journal of International Society of Preventive and Community Dentistry","2231-0762","Q3","1.7","DENTISTRY, ORAL SURGERY & MEDICINE","2025"
"Journal of International Society of Preventive and Community Dentistry","2250-1002","Q3","1.7","DENTISTRY, ORAL SURGERY & MEDICINE","2025"
"SUBSTANCE USE & MISUSE","1082-6084","Q3","1.7","Multiple","2025"
"SUBSTANCE USE & MISUSE","1532-2491","Q3","1.7","Multiple","2025"
"International Journal for Academic Development","1360-144X","Q2","1.7","EDUCATION & EDUCATIONAL RESEARCH","2025"
"International Journal for Academic Development","1470-1324","Q2","1.7","EDUCATION & EDUCATIONAL RESEARCH","2025"
"Veterinary Record Open","2399-2050","Q2","1.7","VETERINARY SCIENCES","2025"
"Veterinary Record Open","2052-6113","Q2","1.7","VETERINARY SCIENCES","2025"
"Cleft Palate Craniofacial Journal","1055-6656","Q3","1.7","Multiple","2025"
"Cleft Palate Craniofacial Journal","1545-1569","Q3","1.7","Multiple","2025"
"Defence and Security Analysis","1475-1798","Q2","1.7","INTERNATIONAL RELATIONS","2025"
"Defence and Security Analysis","1475-1801","Q2","1.7","INTERNATIONAL RELATIONS","2025"
"IEEE TRANSACTIONS ON PROFESSIONAL COMMUNICATION","0361-1434","Q2","1.7","COMMUNICATION","2025"
"IEEE TRANSACTIONS ON PROFESSIONAL COMMUNICATION","1558-1500","Q2","1.7","COMMUNICATION","2025"
"Journal of Child and Adolescent Mental Health","1728-0583","Q3","1.7","PSYCHOLOGY, CLINICAL","2025"
"Journal of Child and Adolescent Mental Health","1728-0591","Q3","1.7","PSYCHOLOGY, CLINICAL","2025"
"REPRODUCTION IN DOMESTIC ANIMALS","0936-6768","Q2","1.7","Multiple","2025"
"REPRODUCTION IN DOMESTIC ANIMALS","1439-0531","Q2","1.7","Multiple","2025"
"AORN JOURNAL","0001-2092","Q3","1.7","NURSING","2025"
"AORN JOURNAL","1878-0369","Q3","1.7","NURSING","2025"
"LEARNING & MEMORY","1072-0502","Q4","1.7","NEUROSCIENCES","2025"
"LEARNING & MEMORY","1549-5485","Q4","1.7","NEUROSCIENCES","2025"
"SECOND LANGUAGE RESEARCH","0267-6583","Q2","1.7","Multiple","2025"
"SECOND LANGUAGE RESEARCH","1477-0326","Q2","1.7","Multiple","2025"
"Sexual Health & Compulsivity","2692-9953","Q3","1.7","PSYCHOLOGY, CLINICAL","2025"
"Sexual Health & Compulsivity","2692-9996","Q3","1.7","PSYCHOLOGY, CLINICAL","2025"
"Spine Deformity","2212-134X","Q3","1.7","Multiple","2025"
"Spine Deformity","2212-1358","Q3","1.7","Multiple","2025"
"Chinese Neurosurgical Journal","N/A","Q3","1.7","Multiple","2025"
"Chinese Neurosurgical Journal","2057-4967","Q3","1.7","Multiple","2025"
"PLASMA SCIENCE & TECHNOLOGY","1009-0630","Q3","1.7","PHYSICS, FLUIDS & PLASMAS","2025"
"PLASMA SCIENCE & TECHNOLOGY","2058-6272","Q3","1.7","PHYSICS, FLUIDS & PLASMAS","2025"
"POLITICAL THEORY","0090-5917","Q2","1.7","POLITICAL SCIENCE","2025"
"POLITICAL THEORY","1552-7476","Q2","1.7","POLITICAL SCIENCE","2025"
"READING TEACHER","0034-0561","Q2","1.7","EDUCATION & EDUCATIONAL RESEARCH","2025"
"READING TEACHER","1936-2714","Q2","1.7","EDUCATION & EDUCATIONAL RESEARCH","2025"
"Australian Endodontic Journal","1329-1947","Q3","1.7","DENTISTRY, ORAL SURGERY & MEDICINE","2025"
"Australian Endodontic Journal","1747-4477","Q3","1.7","DENTISTRY, ORAL SURGERY & MEDICINE","2025"
"DOMESTIC ANIMAL ENDOCRINOLOGY","0739-7240","Q3","1.7","Multiple","2025"
"DOMESTIC ANIMAL ENDOCRINOLOGY","1879-0054","Q3","1.7","Multiple","2025"
"International Journal of Mathematical Engineering and Management Sciences","2455-7749","Q2","1.7","Multiple","2025"
"JOURNAL OF PUBLIC HEALTH MANAGEMENT AND PRACTICE","1078-4659","Q3","1.7","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","2025"
"JOURNAL OF PUBLIC HEALTH MANAGEMENT AND PRACTICE","1550-5022","Q3","1.7","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","2025"
"Journal of the European Optical Society-Rapid Publications","1990-2573","Q3","1.7","OPTICS","2025"
"THEORETICAL MEDICINE AND BIOETHICS","1386-7415","Q2","1.7","Multiple","2025"
"THEORETICAL MEDICINE AND BIOETHICS","1573-1200","Q2","1.7","Multiple","2025"
"Arthropod-Plant Interactions","1872-8855","Q2","1.7","ENTOMOLOGY","2025"
"Arthropod-Plant Interactions","1872-8847","Q2","1.7","ENTOMOLOGY","2025"
"INSECTES SOCIAUX","0020-1812","Q2","1.7","ENTOMOLOGY","2025"
"INSECTES SOCIAUX","1420-9098","Q2","1.7","ENTOMOLOGY","2025"
"Journal of Spectroscopy","2314-4920","Q3","1.7","Multiple","2025"
"Journal of Spectroscopy","2314-4939","Q3","1.7","Multiple","2025"
"Moravian Geographical Reports","1210-8812","Q2","1.7","GEOGRAPHY","2025"
"Moravian Geographical Reports","2199-6202","Q2","1.7","GEOGRAPHY","2025"
"Oral Health & Preventive Dentistry","1602-1622","Q3","1.7","DENTISTRY, ORAL SURGERY & MEDICINE","2025"
"Oral Health & Preventive Dentistry","1757-9996","Q3","1.7","DENTISTRY, ORAL SURGERY & MEDICINE","2025"
"SCANDINAVIAN JOURNAL OF PUBLIC HEALTH","1403-4948","Q3","1.7","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","2025"
"SCANDINAVIAN JOURNAL OF PUBLIC HEALTH","1651-1905","Q3","1.7","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","2025"
"Tripodos","1138-3305","Q2","1.7","COMMUNICATION","2025"
"Tripodos","2340-5007","Q2","1.7","COMMUNICATION","2025"
"BRAIN & DEVELOPMENT","0387-7604","Q3","1.7","Multiple","2025"
"BRAIN & DEVELOPMENT","1872-7131","Q3","1.7","Multiple","2025"
"EXPERIMENTAL ECONOMICS","1386-4157","Q2","1.7","ECONOMICS","2025"
"EXPERIMENTAL ECONOMICS","1573-6938","Q2","1.7","ECONOMICS","2025"
"HEALTH EDUCATION JOURNAL","0017-8969","Q2","1.7","Multiple","2025"
"HEALTH EDUCATION JOURNAL","1748-8176","Q2","1.7","Multiple","2025"
"Infection Disease & Health","2468-0451","Q3","1.7","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","2025"
"Journal of Empirical Research on Human Research Ethics","1556-2646","Q2","1.7","Multiple","2025"
"Journal of Empirical Research on Human Research Ethics","1556-2654","Q2","1.7","Multiple","2025"
"Lymphatic Research and Biology","1539-6851","Q3","1.7","Multiple","2025"
"Lymphatic Research and Biology","1557-8585","Q3","1.7","Multiple","2025"
"Quantitative Finance and Economics","2573-0134","Q3","1.7","BUSINESS, FINANCE","2025"
"ULTRASONIC IMAGING","0161-7346","Q2","1.7","Multiple","2025"
"ULTRASONIC IMAGING","1096-0910","Q2","1.7","Multiple","2025"
"Apunts Educacion Fisica y Deportes","1577-4015","Q2","1.7","EDUCATION & EDUCATIONAL RESEARCH","2025"
"Apunts Educacion Fisica y Deportes","2014-0983","Q2","1.7","EDUCATION & EDUCATIONAL RESEARCH","2025"
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","0167-9473","Q2","1.7","Multiple","2025"
"COMPUTATIONAL STATISTICS & DATA ANALYSIS","1872-7352","Q2","1.7","Multiple","2025"
"Dimensions of Critical Care Nursing","0730-4625","Q3","1.7","NURSING","2025"
"Dimensions of Critical Care Nursing","1538-8646","Q3","1.7","NURSING","2025"
"EDUCATIONAL GERONTOLOGY","0360-1277","Q2","1.7","Multiple","2025"
"EDUCATIONAL GERONTOLOGY","1521-0472","Q2","1.7","Multiple","2025"
"International Journal of Circumpolar Health","1239-9736","Q3","1.7","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","2025"
"International Journal of Circumpolar Health","2242-3982","Q3","1.7","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","2025"
"International Journal on Digital Libraries","1432-5012","Q2","1.7","INFORMATION SCIENCE & LIBRARY SCIENCE","2025"
"International Journal on Digital Libraries","1432-1300","Q2","1.7","INFORMATION SCIENCE & LIBRARY SCIENCE","2025"
"TEACHING OF PSYCHOLOGY","0098-6283","Q2","1.7","Multiple","2025"
"TEACHING OF PSYCHOLOGY","1532-8023","Q2","1.7","Multiple","2025"
"Acta Orthopaedica et Traumatologica Turcica","1017-995X","Q3","1.7","ORTHOPEDICS","2025"
"Acta Orthopaedica et Traumatologica Turcica","2589-1294","Q3","1.7","ORTHOPEDICS","2025"
"CRITICAL REVIEW","0891-3811","Q2","1.7","POLITICAL SCIENCE","2025"
"CRITICAL REVIEW","1933-8007","Q2","1.7","POLITICAL SCIENCE","2025"
"JOURNAL OF AGING AND PHYSICAL ACTIVITY","1063-8652","Q3","1.7","Multiple","2025"
"JOURNAL OF AGING AND PHYSICAL ACTIVITY","1543-267X","Q3","1.7","Multiple","2025"
"Journal of Population Ageing","1874-7884","Q3","1.7","GERONTOLOGY","2025"
"Journal of Population Ageing","1874-7876","Q3","1.7","GERONTOLOGY","2025"
"JOURNAL OF RADIOANALYTICAL AND NUCLEAR CHEMISTRY","0236-5731","Q3","1.7","Multiple","2025"
"JOURNAL OF RADIOANALYTICAL AND NUCLEAR CHEMISTRY","1588-2780","Q3","1.7","Multiple","2025"
"JOURNAL OF VIBRATION AND ACOUSTICS-TRANSACTIONS OF THE ASME","1048-9002","Q2","1.7","Multiple","2025"
"JOURNAL OF VIBRATION AND ACOUSTICS-TRANSACTIONS OF THE ASME","1528-8927","Q2","1.7","Multiple","2025"
"Surgical Infections","1096-2964","Q3","1.7","Multiple","2025"
"Surgical Infections","1557-8674","Q3","1.7","Multiple","2025"
"European Actuarial Journal","2190-9733","Q2","1.7","Multiple","2025"
"European Actuarial Journal","2190-9741","Q2","1.7","Multiple","2025"
"Informatics for Health & Social Care","1753-8157","Q3","1.7","Multiple","2025"
"Informatics for Health & Social Care","1753-8165","Q3","1.7","Multiple","2025"
"Innovations-Technology and Techniques in Cardiothoracic and Vascular Surgery","1556-9845","Q3","1.7","SURGERY","2025"
"Innovations-Technology and Techniques in Cardiothoracic and Vascular Surgery","1559-0879","Q3","1.7","SURGERY","2025"
"International Journal of Biomathematics","1793-5245","Q3","1.7","MATHEMATICAL & COMPUTATIONAL BIOLOGY","2025"
"International Journal of Biomathematics","1793-7159","Q3","1.7","MATHEMATICAL & COMPUTATIONAL BIOLOGY","2025"
"Journal of Agricultural and Applied Economics","1074-0708","Q2","1.7","Multiple","2025"
"Journal of Agricultural and Applied Economics","2056-7405","Q2","1.7","Multiple","2025"
"NUCLEAR TECHNOLOGY","0029-5450","Q3","1.7","NUCLEAR SCIENCE & TECHNOLOGY","2025"
"NUCLEAR TECHNOLOGY","1943-7471","Q3","1.7","NUCLEAR SCIENCE & TECHNOLOGY","2025"
"PATHOBIOLOGY","1015-2008","Q3","1.7","Multiple","2025"
"PATHOBIOLOGY","1423-0291","Q3","1.7","Multiple","2025"
"Actas Urologicas Espanolas","0210-4806","Q3","1.7","UROLOGY & NEPHROLOGY","2025"
"Actas Urologicas Espanolas","1699-7980","Q3","1.7","UROLOGY & NEPHROLOGY","2025"
"Adolescents","N/A","Q3","1.7","PSYCHOLOGY, DEVELOPMENTAL","2025"
"Adolescents","2673-7051","Q3","1.7","PSYCHOLOGY, DEVELOPMENTAL","2025"
"BMJ Military Health","2633-3767","Q2","1.7","MEDICINE, GENERAL & INTERNAL","2025"
"BMJ Military Health","2633-3775","Q2","1.7","MEDICINE, GENERAL & INTERNAL","2025"
"Contemporary Political Theory","1470-8914","Q2","1.7","POLITICAL SCIENCE","2025"
"Contemporary Political Theory","1476-9336","Q2","1.7","POLITICAL SCIENCE","2025"
"EMOTIONAL AND BEHAVIOURAL DIFFICULTIES","1363-2752","Q3","1.7","PSYCHOLOGY, EDUCATIONAL","2025"
"EMOTIONAL AND BEHAVIOURAL DIFFICULTIES","1741-2692","Q3","1.7","PSYCHOLOGY, EDUCATIONAL","2025"
"FOREST PRODUCTS JOURNAL","0015-7473","Q2","1.7","Multiple","2025"
"Global Economic Review","1226-508X","Q2","1.7","ECONOMICS","2025"
"Global Economic Review","1744-3873","Q2","1.7","ECONOMICS","2025"
"JOURNAL OF INFECTION AND CHEMOTHERAPY","1341-321X","Q3","1.7","Multiple","2025"
"JOURNAL OF INFECTION AND CHEMOTHERAPY","1437-7780","Q3","1.7","Multiple","2025"
"Agrarian South-Journal of Political Economy","2277-9760","Q2","1.7","Multiple","2025"
"Agrarian South-Journal of Political Economy","2321-0281","Q2","1.7","Multiple","2025"
"BMJ Public Health","N/A","Q3","1.7","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","2025"
"BMJ Public Health","2753-4294","Q3","1.7","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","2025"
"EJNMMI Reports","N/A","Q3","1.7","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING","2025"
"EJNMMI Reports","3005-074X","Q3","1.7","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING","2025"
"Journal of Central Banking Theory and Practice","1800-9581","Q3","1.7","BUSINESS, FINANCE","2025"
"Journal of Central Banking Theory and Practice","2336-9205","Q3","1.7","BUSINESS, FINANCE","2025"
"Journal of Parasitology Research","2090-0023","Q3","1.7","PARASITOLOGY","2025"
"Journal of Parasitology Research","2090-0031","Q3","1.7","PARASITOLOGY","2025"
"PALYNOLOGY","0191-6122","Q2","1.7","Multiple","2025"
"PALYNOLOGY","1558-9188","Q2","1.7","Multiple","2025"
"Psychology in Russia-State of the Art","2074-6857","Q2","1.7","PSYCHOLOGY, MULTIDISCIPLINARY","2025"
"Psychology in Russia-State of the Art","2307-2202","Q2","1.7","PSYCHOLOGY, MULTIDISCIPLINARY","2025"
"REVIEW OF INCOME AND WEALTH","0034-6586","Q2","1.7","ECONOMICS","2025"
"REVIEW OF INCOME AND WEALTH","1475-4991","Q2","1.7","ECONOMICS","2025"
"Science of Diabetes Self-Management and Care","2635-0106","Q3","1.7","Multiple","2025"
"Science of Diabetes Self-Management and Care","2635-0114","Q3","1.7","Multiple","2025"
"Australian Journal of Advanced Nursing","0813-0531","Q3","1.7","NURSING","2025"
"Australian Journal of Advanced Nursing","1447-4328","Q3","1.7","NURSING","2025"
"JOURNAL OF RADIOLOGICAL PROTECTION","0952-4746","Q3","1.7","Multiple","2025"
"JOURNAL OF RADIOLOGICAL PROTECTION","1361-6498","Q3","1.7","Multiple","2025"
"KYKLOS","0023-5962","Q2","1.7","ECONOMICS","2025"
"KYKLOS","1467-6435","Q2","1.7","ECONOMICS","2025"
"REVISTA CLINICA ESPANOLA","0014-2565","Q2","1.7","MEDICINE, GENERAL & INTERNAL","2025"
"REVISTA CLINICA ESPANOLA","1578-1860","Q2","1.7","MEDICINE, GENERAL & INTERNAL","2025"
"Translation & Interpreting-The International Journal of Translation and Interpreting","1836-9324","Q2","1.7","LINGUISTICS","2025"
"African Geographical Review","1937-6812","Q2","1.7","GEOGRAPHY","2025"
"African Geographical Review","2163-2642","Q2","1.7","GEOGRAPHY","2025"
"APPLIED OPTICS","1559-128X","Q3","1.7","OPTICS","2025"
"APPLIED OPTICS","2155-3165","Q3","1.7","OPTICS","2025"
"BSGF-Earth Sciences Bulletin","0037-9409","Q3","1.7","GEOSCIENCES, MULTIDISCIPLINARY","2025"
"BSGF-Earth Sciences Bulletin","1777-5817","Q3","1.7","GEOSCIENCES, MULTIDISCIPLINARY","2025"
"Clinical Pharmacology in Drug Development","2160-7648","Q3","1.7","PHARMACOLOGY & PHARMACY","2025"
"International Journal of Housing Markets and Analysis","1753-8270","Q3","1.7","URBAN STUDIES","2025"
"International Journal of Housing Markets and Analysis","1753-8289","Q3","1.7","URBAN STUDIES","2025"
"International Journal of Optics","1687-9384","Q3","1.7","OPTICS","2025"
"International Journal of Optics","1687-9392","Q3","1.7","OPTICS","2025"
"JOURNAL OF COLLEGE STUDENT DEVELOPMENT","0897-5264","Q2","1.7","Multiple","2025"
"JOURNAL OF COLLEGE STUDENT DEVELOPMENT","1543-3382","Q2","1.7","Multiple","2025"
"Journal of Signal Processing Systems for Signal Image and Video Technology","1939-8018","Q3","1.7","Multiple","2025"
"Journal of Signal Processing Systems for Signal Image and Video Technology","1939-8115","Q3","1.7","Multiple","2025"
"Journal of the American Taxation Association","0198-9073","Q3","1.7","BUSINESS, FINANCE","2025"
"Journal of the American Taxation Association","1558-8017","Q3","1.7","BUSINESS, FINANCE","2025"
